iter	MultiClass
0	0.9959553231
1	0.8977898571
2	0.8160207803
3	0.7441595491
4	0.6808457802
5	0.6362249341
6	0.5885693969
7	0.5412564645
8	0.5019258682
9	0.4720112464
10	0.4397674417
11	0.4144347841
12	0.3888011668
13	0.3692951785
14	0.3481667902
15	0.3291734634
16	0.311455226
17	0.29904112
18	0.2831759042
19	0.2701351266
20	0.2581926645
21	0.2498921198
22	0.2395829119
23	0.2308930762
24	0.2197351032
25	0.2136478191
26	0.2059910764
27	0.2005969778
28	0.1948888474
29	0.1888013702
30	0.1815137057
31	0.1746281474
32	0.1681572569
33	0.1635643651
34	0.1586531226
35	0.1542232774
36	0.1503564281
37	0.1466607504
38	0.142913747
39	0.1396280019
40	0.1368109695
41	0.1339720205
42	0.130922501
43	0.1279743334
44	0.1249657572
45	0.1226899852
46	0.1205100236
47	0.1179813267
48	0.116279978
49	0.1131926602
50	0.1105758193
51	0.1081235628
52	0.1048421189
53	0.102646161
54	0.100413619
55	0.09832683599
56	0.09654520209
57	0.09442931382
58	0.09262221428
59	0.0911464375
60	0.08971745226
61	0.08801586702
62	0.08654508886
63	0.08525162271
64	0.08351306439
65	0.0825122387
66	0.08096940502
67	0.079636097
68	0.07809929033
69	0.0766897315
70	0.07541667936
71	0.07355373056
72	0.07266482899
73	0.07121394079
74	0.06952752077
75	0.06820311385
76	0.06691517886
77	0.06572217927
78	0.06474150233
79	0.06366467192
80	0.06220435454
81	0.06128701073
82	0.06053894685
83	0.05965427459
84	0.05881240683
85	0.05802672285
86	0.05719549167
87	0.05640121422
88	0.05541235122
89	0.05483879869
90	0.05397068752
91	0.05319381162
92	0.05248100603
93	0.05197686999
94	0.05097012254
95	0.05020139024
96	0.04966180854
97	0.04878415316
98	0.04827365264
99	0.04787417453
