iter	Passed	Remaining
0	2	221
1	4	226
2	6	206
3	7	191
4	9	181
5	11	174
6	12	169
7	14	164
8	15	160
9	17	158
10	19	155
11	21	155
12	23	156
13	25	156
14	27	156
15	29	154
16	30	151
17	32	149
18	34	148
19	36	145
20	37	142
21	39	140
22	41	137
23	42	134
24	43	131
25	45	128
26	46	125
27	47	122
28	48	119
29	49	115
30	50	111
31	51	109
32	52	106
33	53	103
34	54	101
35	55	98
36	56	95
37	57	93
38	57	90
39	58	88
40	59	86
41	60	84
42	61	81
43	62	79
44	63	77
45	64	75
46	65	73
47	66	71
48	67	70
49	68	68
50	69	66
51	70	65
52	71	63
53	73	62
54	74	60
55	75	59
56	76	57
57	78	56
58	78	54
59	80	53
60	81	52
61	82	50
62	84	49
63	85	48
64	86	46
65	88	45
66	89	44
67	90	42
68	91	41
69	92	39
70	93	38
71	94	36
72	95	35
73	96	33
74	97	32
75	99	31
76	100	30
77	101	28
78	103	27
79	104	26
80	105	24
81	106	23
82	107	21
83	108	20
84	109	19
85	111	18
86	112	16
87	113	15
88	114	14
89	116	12
90	117	11
91	118	10
92	119	9
93	120	7
94	122	6
95	123	5
96	124	3
97	125	2
98	127	1
99	128	0
